,opt_config,validity
0,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.964458138136807, 'ORCH_1_Drestart': 3.4573676326413465, 'ORCH_1_Fstop': 0.7597001556142563, 'ORCH_1_Frestart': 0.190762536451535, 'PSCS__TAU': 693.0, 'HUM_1_VEL': 78.22696065462503, 'HUM_2_VEL': 66.13117578351202, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2435.56, 'HUM_1_POS_Y': 591.61, 'HUM_2_POS_X': 1462.01, 'HUM_2_POS_Y': 536.68, 'ROB_1_VEL': 78.59761709024613, 'ROB_1_CHG': 12.00947781, 'SCS': 0.78046639288, 'FTG': 0.0564319833333333}",False
1,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.184740670493246, 'ORCH_1_Drestart': 3.914948491263267, 'ORCH_1_Fstop': 0.6822970910975119, 'ORCH_1_Frestart': 0.3031604570838632, 'PSCS__TAU': 360.0, 'HUM_1_VEL': 69.98587734036825, 'HUM_2_VEL': 35.86032729491632, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 4060.6, 'HUM_1_POS_Y': 216.13, 'HUM_2_POS_X': 2338.88, 'HUM_2_POS_Y': 323.46, 'ROB_1_VEL': 68.36241295928369, 'ROB_1_CHG': 11.58578257, 'SCS': 0.8160317160066675, 'FTG': 0.0246763654761904}",False
2,"{'PRGS': 3.0, 'ORCH_1_Dstop': 5.696658918356008, 'ORCH_1_Drestart': 4.024400874681512, 'ORCH_1_Fstop': 0.7573160615336975, 'ORCH_1_Frestart': 0.3599489420968385, 'PSCS__TAU': 376.0, 'HUM_1_VEL': 34.68315095079694, 'HUM_2_VEL': 46.03506536921307, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 593.41, 'HUM_1_POS_Y': 194.87, 'HUM_2_POS_X': 2983.08, 'HUM_2_POS_Y': 199.98, 'ROB_1_VEL': 80.26177805354001, 'ROB_1_CHG': 11.6439177, 'SCS': 0.8024151249000004, 'FTG': 0.002216}",False
3,"{'PRGS': 4.0, 'ORCH_1_Dstop': 5.952342776078662, 'ORCH_1_Drestart': 3.9718515569442543, 'ORCH_1_Fstop': 0.5309475009573779, 'ORCH_1_Frestart': 0.339630813074597, 'PSCS__TAU': 206.0, 'HUM_1_VEL': 82.38302512112513, 'HUM_2_VEL': 52.82307486762189, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2865.39, 'HUM_1_POS_Y': 191.72, 'HUM_2_POS_X': 2906.42, 'HUM_2_POS_Y': 194.69, 'ROB_1_VEL': 49.749798056640785, 'ROB_1_CHG': 11.32374512, 'SCS': 0.8836696665000011, 'FTG': 0.0448755}",False
4,"{'PRGS': 1.0, 'ORCH_1_Dstop': 6.377886681308048, 'ORCH_1_Drestart': 3.863804259704101, 'ORCH_1_Fstop': 0.5315027584306405, 'ORCH_1_Frestart': 0.3909410550093021, 'PSCS__TAU': 195.0, 'HUM_1_VEL': 92.29825225957444, 'HUM_2_VEL': 58.017018311404115, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 76.97551166333953, 'ROB_1_CHG': 11.19922654, 'SCS': 0.8339085730000008, 'FTG': 0.1320979999999998}",False
5,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.955970409896527, 'ORCH_1_Drestart': 2.1751548001163528, 'ORCH_1_Fstop': 0.7249714931069045, 'ORCH_1_Frestart': 0.2990851012432284, 'PSCS__TAU': 603.0, 'HUM_1_VEL': 64.26083903680659, 'HUM_2_VEL': 61.35173887148361, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 104.91, 'HUM_1_POS_Y': 208.84, 'HUM_2_POS_X': 2206.47, 'HUM_2_POS_Y': 300.61, 'ROB_1_VEL': 74.26319038761852, 'ROB_1_CHG': 11.25777779, 'SCS': 0.6354822395436508, 'FTG': 0.0245760249999999}",False
6,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.614258478335447, 'ORCH_1_Drestart': 2.003377396733599, 'ORCH_1_Fstop': 0.6226006453798097, 'ORCH_1_Frestart': 0.28141097212787, 'PSCS__TAU': 466.0, 'HUM_1_VEL': 98.22559005821446, 'HUM_2_VEL': 59.43854875826588, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3922.46, 'HUM_1_POS_Y': 260.71, 'HUM_2_POS_X': 1380.68, 'HUM_2_POS_Y': 415.8, 'ROB_1_VEL': 77.42246381134562, 'ROB_1_CHG': 11.65040445, 'SCS': 0.8180876776547622, 'FTG': 0.0615511916666666}",False
7,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.790176631006302, 'ORCH_1_Drestart': 3.38550546204569, 'ORCH_1_Fstop': 0.7936243550022797, 'ORCH_1_Frestart': 0.3732415721217377, 'PSCS__TAU': 1.0, 'HUM_1_VEL': 40.55080800196253, 'HUM_2_VEL': 41.79733517076972, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2016.6, 'HUM_1_POS_Y': 417.93, 'HUM_2_POS_X': 1559.79, 'HUM_2_POS_Y': 221.11, 'ROB_1_VEL': 91.56574658325124, 'ROB_1_CHG': 12.16288898, 'SCS': 0.3832809320499994, 'FTG': 0.0012753333333333}",False
8,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.184740670493246, 'ORCH_1_Drestart': 3.914948491263267, 'ORCH_1_Fstop': 0.6822970910975119, 'ORCH_1_Frestart': 0.3031604570838632, 'PSCS__TAU': 360.0, 'HUM_1_VEL': 69.98587734036825, 'HUM_2_VEL': 35.86032729491632, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 4060.6, 'HUM_1_POS_Y': 216.13, 'HUM_2_POS_X': 2338.88, 'HUM_2_POS_Y': 323.46, 'ROB_1_VEL': 68.36241295928369, 'ROB_1_CHG': 11.58578257, 'SCS': 0.8160317160066675, 'FTG': 0.0246763654761904}",False
9,"{'PRGS': 3.0, 'ORCH_1_Dstop': 5.170264876938733, 'ORCH_1_Drestart': 3.901925795970624, 'ORCH_1_Fstop': 0.7331011932235256, 'ORCH_1_Frestart': 0.3425720381729282, 'PSCS__TAU': 376.0, 'HUM_1_VEL': 34.67119494638961, 'HUM_2_VEL': 46.44303134479344, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 597.38, 'HUM_1_POS_Y': 193.24, 'HUM_2_POS_X': 2900.07, 'HUM_2_POS_Y': 199.85, 'ROB_1_VEL': 88.57394751848656, 'ROB_1_CHG': 11.64391232, 'SCS': 0.8351549432500007, 'FTG': 0.0041475}",False
10,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.790176631006302, 'ORCH_1_Drestart': 3.38550546204569, 'ORCH_1_Fstop': 0.7936243550022797, 'ORCH_1_Frestart': 0.3732415721217377, 'PSCS__TAU': 1.0, 'HUM_1_VEL': 40.55080800196253, 'HUM_2_VEL': 41.79733517076972, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2016.6, 'HUM_1_POS_Y': 417.93, 'HUM_2_POS_X': 1559.79, 'HUM_2_POS_Y': 221.11, 'ROB_1_VEL': 91.56574658325124, 'ROB_1_CHG': 12.16288082, 'SCS': 0.3832809320499994, 'FTG': 0.0012753333333333}",False
11,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.955970409896527, 'ORCH_1_Drestart': 2.1751548001163528, 'ORCH_1_Fstop': 0.7249714931069045, 'ORCH_1_Frestart': 0.2990851012432284, 'PSCS__TAU': 604.0, 'HUM_1_VEL': 64.26083903680659, 'HUM_2_VEL': 61.35173887148361, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 104.91, 'HUM_1_POS_Y': 208.84, 'HUM_2_POS_X': 2206.47, 'HUM_2_POS_Y': 300.61, 'ROB_1_VEL': 74.26319038761852, 'ROB_1_CHG': 11.25782055, 'SCS': 0.6354822395436508, 'FTG': 0.0245760249999999}",False
12,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.964458138136807, 'ORCH_1_Drestart': 3.4573676326413465, 'ORCH_1_Fstop': 0.7597001556142563, 'ORCH_1_Frestart': 0.190762536451535, 'PSCS__TAU': 693.0, 'HUM_1_VEL': 78.22696065462503, 'HUM_2_VEL': 66.13117578351202, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2435.56, 'HUM_1_POS_Y': 591.61, 'HUM_2_POS_X': 1462.01, 'HUM_2_POS_Y': 536.68, 'ROB_1_VEL': 78.59761709024613, 'ROB_1_CHG': 12.00947781, 'SCS': 0.78046639288, 'FTG': 0.0564319833333333}",False
13,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.302291897027381, 'ORCH_1_Drestart': 3.8092882119160696, 'ORCH_1_Fstop': 0.7869600570852785, 'ORCH_1_Frestart': 0.1347247991799133, 'PSCS__TAU': 107.0, 'HUM_1_VEL': 46.513151473503385, 'HUM_2_VEL': 78.80972436525425, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 359.71, 'HUM_1_POS_Y': 164.64, 'HUM_2_POS_X': 2434.94, 'HUM_2_POS_Y': 304.36, 'ROB_1_VEL': 57.72038445953819, 'ROB_1_CHG': 12.23420016, 'SCS': 0.1958515986900001, 'FTG': 0.00478775}",False
14,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.402268485949195, 'ORCH_1_Drestart': 3.5126117053704076, 'ORCH_1_Fstop': 0.7705752549101592, 'ORCH_1_Frestart': 0.1704243005692627, 'PSCS__TAU': 694.0, 'HUM_1_VEL': 74.43884145192081, 'HUM_2_VEL': 64.22299528076799, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2435.56, 'HUM_1_POS_Y': 591.61, 'HUM_2_POS_X': 1462.01, 'HUM_2_POS_Y': 536.68, 'ROB_1_VEL': 78.40314149372851, 'ROB_1_CHG': 12.00952667, 'SCS': 0.7328153561299996, 'FTG': 0.0483408333333333}",False
15,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.184740670493246, 'ORCH_1_Drestart': 3.914948491263267, 'ORCH_1_Fstop': 0.6822970910975119, 'ORCH_1_Frestart': 0.3031604570838632, 'PSCS__TAU': 360.0, 'HUM_1_VEL': 69.98587734036825, 'HUM_2_VEL': 35.86032729491632, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 4060.6, 'HUM_1_POS_Y': 216.13, 'HUM_2_POS_X': 2338.88, 'HUM_2_POS_Y': 323.46, 'ROB_1_VEL': 68.36241295928369, 'ROB_1_CHG': 11.58578257, 'SCS': 0.8160317160066675, 'FTG': 0.0246763654761904}",False
16,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.551191751853954, 'ORCH_1_Drestart': 2.1292550397487298, 'ORCH_1_Fstop': 0.6375076594975625, 'ORCH_1_Frestart': 0.2919249032640382, 'PSCS__TAU': 589.0, 'HUM_1_VEL': 39.00603125648925, 'HUM_2_VEL': 38.68744182438991, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 3689.38, 'HUM_1_POS_Y': 746.45, 'HUM_2_POS_X': 1523.76, 'HUM_2_POS_Y': 782.97, 'ROB_1_VEL': 79.94462726145497, 'ROB_1_CHG': 11.21019451, 'SCS': 0.7929592622666669, 'FTG': 0.0945050726190476}",False
17,"{'PRGS': 3.0, 'ORCH_1_Dstop': 5.178396927393057, 'ORCH_1_Drestart': 4.043235754029469, 'ORCH_1_Fstop': 0.6189429428201103, 'ORCH_1_Frestart': 0.3397920815469946, 'PSCS__TAU': 376.0, 'HUM_1_VEL': 45.01825454371778, 'HUM_2_VEL': 46.20071046991619, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 476.17, 'HUM_1_POS_Y': 185.49, 'HUM_2_POS_X': 2951.08, 'HUM_2_POS_Y': 199.94, 'ROB_1_VEL': 86.14331049570974, 'ROB_1_CHG': 11.64393331, 'SCS': 0.8026088390000002, 'FTG': 0.006122}",False
18,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.213135499366194, 'ORCH_1_Drestart': 4.130162432954973, 'ORCH_1_Fstop': 0.5237638348035623, 'ORCH_1_Frestart': 0.2044352132181174, 'PSCS__TAU': 334.0, 'HUM_1_VEL': 47.285624281341654, 'HUM_2_VEL': 37.12039330191596, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1451.39, 'HUM_1_POS_Y': 625.46, 'HUM_2_POS_X': 1632.24, 'HUM_2_POS_Y': 272.26, 'ROB_1_VEL': 84.24391953902015, 'ROB_1_CHG': 11.60867361, 'SCS': 0.7897018154430956, 'FTG': 0.0112191416666666}",False
19,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.014862055036471, 'ORCH_1_Drestart': 3.0530498245423123, 'ORCH_1_Fstop': 0.7845054789546471, 'ORCH_1_Frestart': 0.3354262413849883, 'PSCS__TAU': 1.0, 'HUM_1_VEL': 96.95850843126355, 'HUM_2_VEL': 60.478613128889045, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 327.0, 'HUM_1_POS_Y': 161.77, 'HUM_2_POS_X': 4200.11, 'HUM_2_POS_Y': 792.34, 'ROB_1_VEL': 89.70633576905938, 'ROB_1_CHG': 11.6018948, 'SCS': 0.3103531730233332, 'FTG': 0.0223368333333333}",False
