,opt_config,validity
20,"{'PRGS': 4.0, 'ORCH_1_Dstop': 6.0342834932753275, 'ORCH_1_Drestart': 3.6867408589070134, 'ORCH_1_Fstop': 0.5649733410634978, 'ORCH_1_Frestart': 0.3618862524242494, 'PSCS__TAU': 333.0, 'HUM_1_VEL': 60.93341985823046, 'HUM_2_VEL': 84.19721950069837, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 500.0, 'HUM_1_POS_Y': 200.0, 'HUM_2_POS_X': 2866.97, 'HUM_2_POS_Y': 194.21, 'ROB_1_VEL': 83.74921554791915, 'ROB_1_CHG': 11.62043293, 'SCS': 0.8290053415000007, 'FTG': 0.0332015}",False
21,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.213135499366194, 'ORCH_1_Drestart': 4.130162432954973, 'ORCH_1_Fstop': 0.5237638348035623, 'ORCH_1_Frestart': 0.2044352132181174, 'PSCS__TAU': 334.0, 'HUM_1_VEL': 47.285624281341654, 'HUM_2_VEL': 37.12039330191596, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1451.39, 'HUM_1_POS_Y': 625.46, 'HUM_2_POS_X': 1632.24, 'HUM_2_POS_Y': 272.26, 'ROB_1_VEL': 84.24391953902015, 'ROB_1_CHG': 11.60867361, 'SCS': 0.7897018154430956, 'FTG': 0.0112191416666666}",False
22,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.229378780592394, 'ORCH_1_Drestart': 3.3901352770775217, 'ORCH_1_Fstop': 0.504204205734735, 'ORCH_1_Frestart': 0.3674371276077929, 'PSCS__TAU': 509.0, 'HUM_1_VEL': 96.11914306998096, 'HUM_2_VEL': 54.597675007244824, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1880.7, 'HUM_1_POS_Y': 368.9, 'HUM_2_POS_X': 2208.45, 'HUM_2_POS_Y': 330.22, 'ROB_1_VEL': 78.56330744524996, 'ROB_1_CHG': 11.45492629, 'SCS': 0.7024472987999999, 'FTG': 0.0218405333333333}",False
23,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.184541531974405, 'ORCH_1_Drestart': 4.0004028504830496, 'ORCH_1_Fstop': 0.5211152221930614, 'ORCH_1_Frestart': 0.2010336763654994, 'PSCS__TAU': 335.0, 'HUM_1_VEL': 33.464048821363306, 'HUM_2_VEL': 67.96609621428271, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1451.39, 'HUM_1_POS_Y': 625.46, 'HUM_2_POS_X': 1632.24, 'HUM_2_POS_Y': 272.26, 'ROB_1_VEL': 87.74256065252584, 'ROB_1_CHG': 11.60869804, 'SCS': 0.8027619056697624, 'FTG': 0.0135547749999999}",False
24,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.229378780592394, 'ORCH_1_Drestart': 3.3901352770775217, 'ORCH_1_Fstop': 0.504204205734735, 'ORCH_1_Frestart': 0.3674371276077929, 'PSCS__TAU': 509.0, 'HUM_1_VEL': 96.11914306998096, 'HUM_2_VEL': 54.597675007244824, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1880.7, 'HUM_1_POS_Y': 368.9, 'HUM_2_POS_X': 2208.45, 'HUM_2_POS_Y': 330.22, 'ROB_1_VEL': 78.56330744524996, 'ROB_1_CHG': 11.45492629, 'SCS': 0.7024472987999999, 'FTG': 0.0218405333333333}",False
25,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.614258478335447, 'ORCH_1_Drestart': 2.003377396733599, 'ORCH_1_Fstop': 0.6226006453798097, 'ORCH_1_Frestart': 0.28141097212787, 'PSCS__TAU': 466.0, 'HUM_1_VEL': 98.22559005821446, 'HUM_2_VEL': 59.43854875826588, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3922.46, 'HUM_1_POS_Y': 260.71, 'HUM_2_POS_X': 1380.68, 'HUM_2_POS_Y': 415.8, 'ROB_1_VEL': 77.42246381134562, 'ROB_1_CHG': 11.65040445, 'SCS': 0.8180876776547622, 'FTG': 0.0615511916666666}",False
26,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.955970409896527, 'ORCH_1_Drestart': 2.1751548001163528, 'ORCH_1_Fstop': 0.7249714931069045, 'ORCH_1_Frestart': 0.2990851012432284, 'PSCS__TAU': 603.0, 'HUM_1_VEL': 64.26083903680659, 'HUM_2_VEL': 61.35173887148361, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 104.91, 'HUM_1_POS_Y': 208.84, 'HUM_2_POS_X': 2206.47, 'HUM_2_POS_Y': 300.61, 'ROB_1_VEL': 74.26319038761852, 'ROB_1_CHG': 11.25777779, 'SCS': 0.6354822395436508, 'FTG': 0.0245760249999999}",False
27,"{'PRGS': 0.0, 'ORCH_1_Dstop': 7.298268406038145, 'ORCH_1_Drestart': 3.344492101930321, 'ORCH_1_Fstop': 0.5564910008940278, 'ORCH_1_Frestart': 0.1503442607604417, 'PSCS__TAU': 143.0, 'HUM_1_VEL': 46.77308582781455, 'HUM_2_VEL': 84.01323528485378, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 2149.73, 'HUM_1_POS_Y': 176.05, 'HUM_2_POS_X': 176.55, 'HUM_2_POS_Y': 363.53, 'ROB_1_VEL': 97.33876361222804, 'ROB_1_CHG': 11.11070556, 'SCS': 0.2163038931299999, 'FTG': 0.0097225}",False
28,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.964458138136807, 'ORCH_1_Drestart': 3.4573676326413465, 'ORCH_1_Fstop': 0.7597001556142563, 'ORCH_1_Frestart': 0.190762536451535, 'PSCS__TAU': 693.0, 'HUM_1_VEL': 78.22696065462503, 'HUM_2_VEL': 66.13117578351202, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2435.56, 'HUM_1_POS_Y': 591.61, 'HUM_2_POS_X': 1462.01, 'HUM_2_POS_Y': 536.68, 'ROB_1_VEL': 78.59761709024613, 'ROB_1_CHG': 12.00947781, 'SCS': 0.78046639288, 'FTG': 0.0564319833333333}",False
29,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.790176631006302, 'ORCH_1_Drestart': 3.38550546204569, 'ORCH_1_Fstop': 0.7936243550022797, 'ORCH_1_Frestart': 0.3732415721217377, 'PSCS__TAU': 1.0, 'HUM_1_VEL': 40.55080800196253, 'HUM_2_VEL': 41.79733517076972, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2016.6, 'HUM_1_POS_Y': 417.93, 'HUM_2_POS_X': 1559.79, 'HUM_2_POS_Y': 221.11, 'ROB_1_VEL': 91.56574658325124, 'ROB_1_CHG': 12.1628886, 'SCS': 0.3832809320499994, 'FTG': 0.0012753333333333}",False
30,"{'PRGS': 1.0, 'ORCH_1_Dstop': 6.4519531280238445, 'ORCH_1_Drestart': 3.890336698343812, 'ORCH_1_Fstop': 0.5211660778530756, 'ORCH_1_Frestart': 0.377207677635392, 'PSCS__TAU': 195.0, 'HUM_1_VEL': 83.25513347866472, 'HUM_2_VEL': 39.14921293212792, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 75.65666320208014, 'ROB_1_CHG': 11.19888415, 'SCS': 0.8353339770000009, 'FTG': 0.1342795}",False
31,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.213135499366194, 'ORCH_1_Drestart': 4.130162432954973, 'ORCH_1_Fstop': 0.5237638348035623, 'ORCH_1_Frestart': 0.2044352132181174, 'PSCS__TAU': 334.0, 'HUM_1_VEL': 47.285624281341654, 'HUM_2_VEL': 37.12039330191596, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1451.39, 'HUM_1_POS_Y': 625.46, 'HUM_2_POS_X': 1632.24, 'HUM_2_POS_Y': 272.26, 'ROB_1_VEL': 84.24391953902015, 'ROB_1_CHG': 11.60867361, 'SCS': 0.7897018154430956, 'FTG': 0.0112191416666666}",False
32,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.614258478335447, 'ORCH_1_Drestart': 2.003377396733599, 'ORCH_1_Fstop': 0.6226006453798097, 'ORCH_1_Frestart': 0.28141097212787, 'PSCS__TAU': 466.0, 'HUM_1_VEL': 98.22559005821446, 'HUM_2_VEL': 59.43854875826588, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3922.46, 'HUM_1_POS_Y': 260.71, 'HUM_2_POS_X': 1380.68, 'HUM_2_POS_Y': 415.8, 'ROB_1_VEL': 77.42246381134562, 'ROB_1_CHG': 11.65040445, 'SCS': 0.8180876776547622, 'FTG': 0.0615511916666666}",False
33,"{'PRGS': 1.0, 'ORCH_1_Dstop': 6.3762501084157615, 'ORCH_1_Drestart': 3.9324865276358, 'ORCH_1_Fstop': 0.5298440563901181, 'ORCH_1_Frestart': 0.3977132295127481, 'PSCS__TAU': 195.0, 'HUM_1_VEL': 85.54657319231788, 'HUM_2_VEL': 32.39856904290623, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 76.69875560126353, 'ROB_1_CHG': 11.19888945, 'SCS': 0.8496860610000013, 'FTG': 0.1342244999999998}",False
34,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.302291897027381, 'ORCH_1_Drestart': 3.8092882119160696, 'ORCH_1_Fstop': 0.7869600570852785, 'ORCH_1_Frestart': 0.1347247991799133, 'PSCS__TAU': 107.0, 'HUM_1_VEL': 46.513151473503385, 'HUM_2_VEL': 78.80972436525425, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 359.71, 'HUM_1_POS_Y': 164.64, 'HUM_2_POS_X': 2434.94, 'HUM_2_POS_Y': 304.36, 'ROB_1_VEL': 57.72038445953819, 'ROB_1_CHG': 12.23421214, 'SCS': 0.1958515986900001, 'FTG': 0.00478775}",False
35,"{'PRGS': 1.0, 'ORCH_1_Dstop': 6.447435302021332, 'ORCH_1_Drestart': 3.946823654310749, 'ORCH_1_Fstop': 0.6460323237460598, 'ORCH_1_Frestart': 0.3604123688626574, 'PSCS__TAU': 276.0, 'HUM_1_VEL': 36.29478261459567, 'HUM_2_VEL': 58.93392778657425, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 827.68, 'HUM_1_POS_Y': 186.19, 'HUM_2_POS_X': 1954.39, 'HUM_2_POS_Y': 204.2, 'ROB_1_VEL': 74.15827874915685, 'ROB_1_CHG': 11.95361963, 'SCS': 0.6864492723566665, 'FTG': 0.032081875}",False
36,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.215410614416923, 'ORCH_1_Drestart': 3.971613090779669, 'ORCH_1_Fstop': 0.7769646327223555, 'ORCH_1_Frestart': 0.344126065434865, 'PSCS__TAU': 276.0, 'HUM_1_VEL': 39.09761012012976, 'HUM_2_VEL': 55.07802824665005, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1149.51, 'HUM_1_POS_Y': 176.37, 'HUM_2_POS_X': 3147.96, 'HUM_2_POS_Y': 466.79, 'ROB_1_VEL': 85.93251535860475, 'ROB_1_CHG': 11.95360579, 'SCS': 0.3789556064199997, 'FTG': 0.0114793749999999}",False
37,"{'PRGS': 4.0, 'ORCH_1_Dstop': 5.673874423408617, 'ORCH_1_Drestart': 3.820543571977613, 'ORCH_1_Fstop': 0.5285404047408587, 'ORCH_1_Frestart': 0.388784193305079, 'PSCS__TAU': 293.0, 'HUM_1_VEL': 99.01865997357903, 'HUM_2_VEL': 47.40073622709232, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 1107.67, 'HUM_1_POS_Y': 175.16, 'HUM_2_POS_X': 2852.19, 'HUM_2_POS_Y': 201.21, 'ROB_1_VEL': 88.06178598100732, 'ROB_1_CHG': 12.01203747, 'SCS': 0.858347737000001, 'FTG': 0.0852109999999999}",False
38,"{'PRGS': 2.0, 'ORCH_1_Dstop': 5.011883965660713, 'ORCH_1_Drestart': 2.477273045760916, 'ORCH_1_Fstop': 0.5867968577999751, 'ORCH_1_Frestart': 0.3560464623709896, 'PSCS__TAU': 392.0, 'HUM_1_VEL': 33.34063626799189, 'HUM_2_VEL': 61.47390917664562, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 692.64, 'HUM_1_POS_Y': 190.08, 'HUM_2_POS_X': 2221.8, 'HUM_2_POS_Y': 244.28, 'ROB_1_VEL': 87.54105009511647, 'ROB_1_CHG': 11.1510929, 'SCS': 0.8314894742500007, 'FTG': 0.3005143333333332}",False
39,"{'PRGS': 3.0, 'ORCH_1_Dstop': 5.230461602712367, 'ORCH_1_Drestart': 3.825633700518062, 'ORCH_1_Fstop': 0.7469499971403307, 'ORCH_1_Frestart': 0.2316084192719922, 'PSCS__TAU': 188.0, 'HUM_1_VEL': 46.428605271975826, 'HUM_2_VEL': 48.52882223104066, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 593.41, 'HUM_1_POS_Y': 194.87, 'HUM_2_POS_X': 2983.08, 'HUM_2_POS_Y': 199.98, 'ROB_1_VEL': 84.34593506798832, 'ROB_1_CHG': 11.58904548, 'SCS': 0.3110589274000001, 'FTG': 0.0023209166666666}",False
40,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.582878125662809, 'ORCH_1_Drestart': 2.126147741348059, 'ORCH_1_Fstop': 0.5950782592789446, 'ORCH_1_Frestart': 0.2912487284782348, 'PSCS__TAU': 467.0, 'HUM_1_VEL': 84.61815682345423, 'HUM_2_VEL': 59.31155535226367, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3922.46, 'HUM_1_POS_Y': 260.71, 'HUM_2_POS_X': 1380.68, 'HUM_2_POS_Y': 415.8, 'ROB_1_VEL': 79.5632528354014, 'ROB_1_CHG': 11.65043804, 'SCS': 0.7970475637380956, 'FTG': 0.0642122416666666}",False
